2022-05-19 14:05:528 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 14:05:661 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 14:05:902 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 14:05:989 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 14:05:60 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 14:05:139 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //button[@id='checkout']]
2022-05-19 14:05:249 INFO  CheckOutPage :48 - enter first name : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //input[@id='first-name']]
2022-05-19 14:05:351 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //input[@id='last-name']]
2022-05-19 14:05:483 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //input[@id='postal-code']]
2022-05-19 14:05:571 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //input[@id='continue']]
2022-05-19 14:05:635 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //button[@id='finish']]
2022-05-19 14:05:660 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (1f9ea92519acc5bd74c0d60910b51409)] -> xpath: //h2[@class='complete-header']]
2022-05-19 14:05:855 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 14:05:749 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 14:05:851 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 14:05:13 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 14:05:118 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 14:05:198 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //button[@id='checkout']]
2022-05-19 14:05:315 INFO  CheckOutPage :48 - enter first name : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //input[@id='first-name']]
2022-05-19 14:05:413 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //input[@id='last-name']]
2022-05-19 14:05:521 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //input[@id='postal-code']]
2022-05-19 14:05:598 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //input[@id='continue']]
2022-05-19 14:05:682 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //button[@id='finish']]
2022-05-19 14:05:720 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (07edbe5b0739d71c7542052a28f4c1ba)] -> xpath: //h2[@class='complete-header']]
2022-05-19 15:05:83 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 15:05:805 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 15:05:28 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 15:05:112 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 15:05:182 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 15:05:257 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //button[@id='checkout']]
2022-05-19 15:05:356 INFO  CheckOutPage :48 - enter first name : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //input[@id='first-name']]
2022-05-19 15:05:453 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //input[@id='last-name']]
2022-05-19 15:05:556 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //input[@id='postal-code']]
2022-05-19 15:05:637 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //input[@id='continue']]
2022-05-19 15:05:694 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //button[@id='finish']]
2022-05-19 15:05:723 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (93d02d6cde3fbc35d799163f45a45fbb)] -> xpath: //h2[@class='complete-header']]
2022-05-19 15:05:781 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 15:05:215 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 15:05:267 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 15:05:317 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 15:05:362 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 15:05:408 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //button[@id='checkout']]
2022-05-19 15:05:493 INFO  CheckOutPage :48 - enter first name : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //input[@id='first-name']]
2022-05-19 15:05:557 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //input[@id='last-name']]
2022-05-19 15:05:625 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //input[@id='postal-code']]
2022-05-19 15:05:680 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //input[@id='continue']]
2022-05-19 15:05:734 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //button[@id='finish']]
2022-05-19 15:05:760 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (1274321e09564af4f0abc14ac29526b9)] -> xpath: //h2[@class='complete-header']]
2022-05-19 15:05:988 INFO  ManageDriver :31 - Launching Chrome Browser
